"Date","Measured Date","Depth"," ","W.C."," ","Density"
"4/1979","29-Mar-1979","57.0","","21.0","","37%"
"4/1980","31-Mar-1980","90.2","","36.3","","40%"
"4/1981","26-Mar-1981","39.0","","11.6","","30%"
"4/1982","09-Apr-1982","155.5","","58.4","","38%"
"4/1983","05-Apr-1983","182.8","","79.0","","43%"
"4/1984","30-Mar-1984","92.8","","41.2","","44%"
"4/1985","29-Mar-1985","129.1","","43.3","","34%"
"4/1986","31-Mar-1986","85.2","","40.4","","47%"
"4/1987","27-Mar-1987","92.7","","37.8","","41%"
"4/1988","29-Mar-1988","39.3","","18.0","","46%"
"4/1989","29-Mar-1989","105.6","","45.7","","43%"
"4/1990","02-Apr-1990","36.5","","16.9","","46%"
"4/1991","28-Mar-1991","60.6","","18.6","","31%"
"4/1992","30-Mar-1992","31.6","","13.4","","42%"
"4/1993","30-Mar-1993","91.4","","44.6","","49%"
"4/1994","01-Apr-1994","50.3","","22.6","","45%"
"4/1995","03-Apr-1995","105.3","","50.4","","48%"
"4/1996","01-Apr-1996","80.0","","39.7","","50%"
"4/1997","01-Apr-1997","71.8","","31.3","","44%"
"4/1998","05-Apr-1998","116.3","","56.9","","49%"
"4/2000","30-Mar-2000","102.5","","49.2","","48%"
"4/2001","31-Mar-2001","26.8","","12.1","","45%"
"4/2002","28-Mar-2002","100.1","","46.1","","46%"
"3/2003","27-Feb-2003","72.8","","40.3","","55%"
"4/2003","27-Mar-2003","81.6","","41.4","","51%"
"5/2003","01-May-2003","113.0","","55.0","","49%"
"2/2004","30-Jan-2004","59.6","","21.2","","36%"
"3/2004","27-Feb-2004","106.0","","35.7","","34%"
"4/2004","29-Mar-2004","95.0","","42.5","","45%"
"4/2005","28-Mar-2005","74.2","","26.3","","35%"
"4/2006","05-Apr-2006","132.5","","56.6","","43%"
"4/2007","03-Apr-2007","64.6","","29.1","","45%"
"4/2008","02-Apr-2008","104.2","","46.4","","45%"
"4/2009","04-Apr-2009","77.2","","32.6","","42%"
"4/2010","05-Apr-2010","108.0","","23.8","","22%"
"4/2011","01-Apr-2011","142.4","","57.7","","41%"
"4/2012","02-Apr-2012","114.9","","43.9","","38%"
"4/2013","03-Apr-2013","52.7","","23.0","","44%"
"4/2014","01-Apr-2014","23.5","","8.5","","36%"
"4/2015","01-Apr-2015","1.0","","0.5","","50%"
"4/2016","25-Mar-2016","107.0","","46.0","","43%"
"4/2018","29-Mar-2018","69.0","","24.5","","36%"
"4/2019","26-Mar-2019","109.5","","43.0","","39%"
"4/2020","26-Mar-2020","48.0","","18.0","","38%"
"4/2021","26-Mar-2021","81.0","","29.5","","36%"
"4/2022","24-Mar-2022","43.0","","21.0","","49%"